codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,anual_prodution
4100608,2006,20060702.0,12.55,23.26,17.89,20.33,29.73,17.73,23.33,13.37,73.31,0.13,96.4,0.72,1.23,0.37,0.9,2.11,3.22,1.13,2.12,3.91,5.88,1.88,3.81,0.6,0.58,0.59,18.25,23.69,33.97,95.88,123.65,12.47,0.34,1.7,1734.0
4100608,2007,20070702.0,12.17,23.66,17.29,20.73,29.84,17.97,23.5,12.88,76.44,0.02,96.44,0.72,1.26,0.38,0.89,2.19,3.3,1.31,2.04,4.16,6.04,2.22,3.81,0.65,0.61,0.63,17.8,22.92,33.93,93.72,117.94,12.23,0.33,1.67,2727.0
4100608,2008,20080701.5,12.735,22.755000000000003,16.810000000000002,19.994999999999997,29.58,17.15,22.61,12.57,72.905,0.08499999999999999,96.4,0.735,1.26,0.38,0.91,2.1950000000000003,3.32,1.21,2.105,4.18,6.155,1.935,3.925,0.6,0.59,0.59,18.83,24.1,34.010000000000005,98.285,125.93,12.855,0.34,1.725,2400.0
4100608,2009,20090702.0,11.61,23.69,18.31,21.08,29.54,17.8,23.5,13.73,77.5,0.38,96.37,0.72,1.23,0.36,0.87,2.15,3.21,1.2,2.05,4.1,5.91,2.03,3.7,0.64,0.61,0.62,17.61,23.38,34.01,95.17,123.52,12.32,0.34,1.7,1620.0
4100608,2010,20100702.0,11.35,22.36,16.98,19.19,28.64,16.55,22.41,12.63,80.81,0.12,96.4,0.74,1.27,0.38,0.9,2.24,3.39,1.27,2.16,4.25,6.1,2.2,3.66,0.73,0.67,0.69,17.71,22.88,33.99,94.88,120.09,12.09,0.32,1.58,2899.0
4100608,2011,20110702.0,11.52,22.91,17.35,20.02,29.05,17.27,22.74,12.94,79.06,0.08,96.42,0.73,1.26,0.36,0.91,2.21,3.34,1.19,2.09,4.17,6.06,1.95,3.88,0.72,0.69,0.7,18.17,23.98,33.95,98.36,123.95,12.68,0.35,1.65,2899.0
4100608,2012,20120701.5,12.605,24.265,16.995,20.6,31.22,17.91,24.085,12.665,71.655,0.07500000000000001,96.38,0.73,1.2850000000000001,0.37,0.91,2.22,3.355,1.26,2.1550000000000002,4.12,6.095,2.05,3.775,0.59,0.57,0.58,18.950000000000003,24.105,34.035,100.165,126.86,12.870000000000001,0.34,1.7,1737.0
4100608,2013,20130702.0,11.55,22.29,17.8,20.0,28.74,17.26,22.48,13.31,78.69,0.16,96.43,0.73,1.28,0.38,0.9,2.23,3.34,1.23,2.12,4.3,6.05,2.12,3.95,0.7,0.66,0.68,18.51,23.77,34.02,97.6,124.52,12.59,0.34,1.67,2880.0
4100608,2014,20140702.0,11.85,23.83,17.94,21.1,29.8,18.42,23.73,13.49,76.81,0.29,96.43,0.75,1.32,0.4,0.94,2.27,3.42,1.32,2.16,4.38,6.14,2.33,3.73,0.63,0.59,0.61,18.3,23.42,34.0,96.19,121.37,12.27,0.33,1.66,2000.0
4100608,2015,20150702.0,11.52,23.98,19.06,21.61,29.95,18.84,23.87,14.4,77.69,0.57,96.45,0.71,1.27,0.35,0.88,2.14,3.3,1.23,2.02,4.14,5.84,2.16,3.59,0.64,0.6,0.61,16.96,23.75,33.96,91.48,123.31,11.73,0.32,1.62,1800.0
4100608,2016,20160701.5,11.58,22.71,17.795,20.19,28.935000000000002,17.064999999999998,22.585,13.34,79.785,0.10500000000000001,96.495,0.72,1.23,0.38,0.87,2.23,3.23,1.3,1.95,4.295,6.03,2.3049999999999997,3.6100000000000003,0.73,0.69,0.705,18.564999999999998,24.34,34.025,100.80000000000001,126.005,12.915,0.355,1.77,2221.0
4100608,2017,20170702.0,11.34,23.42,18.29,20.55,29.33,17.92,23.22,13.73,79.06,0.31,96.48,0.74,1.27,0.38,0.9,2.27,3.35,1.33,2.07,4.36,5.99,2.48,3.49,0.66,0.62,0.64,18.21,23.83,34.0,95.1,124.24,12.34,0.33,1.65,2980.0
4100707,2004,20040701.5,11.965,23.380000000000003,17.765,20.11,29.4,17.450000000000003,23.155,13.06,76.97,0.25,97.64,1.04,1.64,0.59,1.12,2.34,3.425,1.39,2.14,4.18,6.12,2.1950000000000003,3.73,0.75,0.72,0.72,18.67,23.45,33.739999999999995,96.05,120.07,12.385,0.33,1.56,2300.0
4100707,2005,20050702.0,12.3,24.19,17.52,21.01,30.26,18.44,23.88,12.88,73.81,0.21,97.62,1.09,1.73,0.62,1.15,2.46,3.66,1.52,2.13,4.41,6.2,2.46,3.62,0.67,0.66,0.66,17.82,22.67,33.73,92.26,118.7,11.57,0.3,1.49,2300.0
4100707,2006,20060702.0,12.66,23.68,17.98,20.71,29.78,18.08,23.54,13.24,71.5,0.18,97.59,0.98,1.62,0.56,1.1,2.21,3.31,1.28,2.18,3.89,5.91,1.95,3.84,0.64,0.64,0.65,18.25,23.55,33.71,94.81,121.41,12.38,0.34,1.7,2700.0
4100707,2007,20070702.0,11.88,24.72,17.93,21.15,30.26,18.32,24.32,13.24,76.25,0.11,97.63,1.03,1.68,0.59,1.11,2.34,3.54,1.4,2.16,4.2,6.12,2.27,3.6,0.69,0.67,0.68,17.29,22.46,33.66,90.51,116.45,11.69,0.3,1.46,3193.0
