codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
4122172,2019,20190702.0,11.21,22.6,16.96,20.11,27.62,17.58,22.42,13.0,75.75,0.24,92.44,0.12,0.36,0.05,0.31,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.53,0.49,0.51,17.22,23.22,33.67,90.7,123.08,11.94,0.32,1.62
4122172,2020,20200701.5,12.985,22.655,14.88,18.33,29.115000000000002,16.34,22.48,11.29,66.31,0.095,92.43,0.12,0.34,0.05,0.3,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.46,0.45,0.47,19.240000000000002,23.175,33.735,100.965,120.71000000000001,13.035,0.36,1.84
4122305,2017,20170702.5,10.94,18.8,14.61,16.865000000000002,25.09,13.955,18.855,11.41,80.91,0.53,92.48,0.02,0.12,0.0,0.12,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.63,0.56,0.58,14.425,23.15,33.06,75.965,120.36,10.01,0.27,1.375
4122305,2018,20180702.0,10.8,19.02,14.97,17.11,25.26,14.41,19.06,11.6,79.94,0.65,92.45,0.02,0.12,0.0,0.12,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.62,0.55,0.58,14.45,23.16,33.16,76.2,121.41,10.27,0.27,1.34
4122305,2019,20190702.0,11.4,19.73,15.12,17.48,26.0,14.76,19.78,11.72,80.12,0.58,92.44,0.02,0.14,0.0,0.14,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.62,0.55,0.56,14.44,23.1,33.11,74.95,122.32,9.9,0.27,1.35
4122305,2020,20200701.5,12.785,18.9,13.65,16.310000000000002,26.384999999999998,13.879999999999999,18.995,10.62,74.94,0.305,92.43,0.02,0.16,0.0,0.16,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.585,0.52,0.54,16.455,22.745,33.16,86.125,118.09,11.17,0.305,1.57
4122404,2017,20170702.5,9.905000000000001,21.67,17.27,19.27,26.61,16.36,21.625,13.149999999999999,82.31,0.175,92.48,1.915,3.4400000000000004,0.745,2.67,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.77,0.74,0.735,18.16,23.975,33.93,94.865,124.295,12.575,0.34,1.69
4122404,2018,20180702.0,10.84,21.57,17.41,19.42,27.25,16.53,21.44,13.24,78.69,0.14,92.45,1.72,3.22,0.68,2.52,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.73,0.71,0.71,17.64,23.7,33.99,93.34,124.05,12.48,0.33,1.63
4122404,2019,20190702.0,11.71,23.17,17.18,20.33,28.36,17.73,22.87,13.06,74.88,0.18,92.44,1.81,3.3,0.7,2.63,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.66,0.66,0.66,17.75,23.26,33.94,93.71,124.18,12.33,0.34,1.67
4122404,2020,20200701.5,13.615,23.51,15.23,18.755000000000003,29.585,16.29,22.799999999999997,11.54,66.91,0.06,92.43,1.87,3.46,0.73,2.76,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.61,0.63,0.63,19.64,23.28,34.015,103.45,122.735,13.370000000000001,0.38,1.9449999999999998
4122503,2017,20170702.5,9.184999999999999,21.225,17.29,19.25,26.01,16.895000000000003,21.275,13.149999999999999,83.19,0.52,92.48,0.24,0.45,0.11,0.34,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.75,0.73,0.76,17.53,23.799999999999997,33.655,90.56,123.41999999999999,11.870000000000001,0.32,1.565
4122503,2018,20180702.0,9.42,21.07,17.66,19.45,26.15,16.77,21.15,13.43,81.69,0.35,92.45,0.24,0.47,0.11,0.36,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.73,0.71,0.74,17.28,23.61,33.72,91.26,122.28,12.0,0.31,1.59
4122503,2019,20190702.0,9.96,22.22,17.34,20.28,27.47,17.94,22.38,13.18,77.38,0.28,92.44,0.23,0.46,0.1,0.35,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.7,0.67,0.71,17.04,23.24,33.67,90.66,123.21,11.67,0.31,1.59
4122503,2020,20200701.5,12.565000000000001,22.575,15.115,18.64,28.985,16.740000000000002,22.55,11.41,67.06,0.08,92.43,0.25,0.48,0.11,0.39,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.64,0.64,0.68,19.1,22.845,33.739999999999995,98.61,119.36500000000001,12.75,0.36,1.77
4122602,2017,20170702.5,11.285,24.0,18.14,20.689999999999998,29.515,18.314999999999998,23.705,13.61,77.5,0.27,92.48,1.87,3.2,0.85,2.34,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.69,0.63,0.63,18.14,23.82,33.93,94.865,124.18,12.315,0.33,1.645
4122602,2018,20180702.0,11.41,23.95,17.97,20.94,29.81,18.15,23.58,13.37,75.38,0.15,92.45,1.68,3.12,0.72,2.38,1.1,1.73,0.54,1.14,2.51,3.9,1.12,2.62,0.68,0.62,0.62,18.1,23.59,33.99,97.05,123.35,12.49,0.33,1.62
4122602,2019,20190702.0,12.69,25.22,17.94,21.67,30.98,19.68,24.86,13.43,70.44,0.15,92.44,1.72,3.22,0.75,2.47,1.12,1.7,0.55,1.16,2.51,4.0,1.09,2.82,0.59,0.58,0.58,17.71,23.19,33.94,94.55,124.02,12.41,0.34,1.7
4122602,2020,20200701.5,14.285,25.509999999999998,16.005000000000003,20.08,31.835,18.175,24.795,11.78,62.97,0.045,92.43,1.77,3.26,0.76,2.545,1.16,1.74,0.56,1.2,2.55,4.055,1.11,2.8049999999999997,0.55,0.56,0.57,19.36,22.915,34.015,102.44,120.495,13.215,0.38,1.915
